unit,n,wins,unit_name,n_images,image_path,image_confidence,image_distance_ft,win_rate,shrunk_rate,base_rate
94_Stair_406859810_n739156897,11,2,Halsey St (Stair),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CRE/W0CREHEV/faces/F.jpg,0.581,33.0,0.1818,0.3158,0.5
295_Elevator_408789717_n739050678,11,2,231 St (Elevator),14,/share/ju/cyclomedia/raw/bronx_2025_1k/W0ENE/W0ENEN8P/faces/B.jpg,0.498,37.0,0.1818,0.3158,0.5
3_Stair_407669901_n739211808,11,2,30 Av (Stair),12,/share/ju/cyclomedia/raw/queens_2025_1k/W0CJT/W0CJTQO2/faces/R.jpg,0.58,33.0,0.1818,0.3158,0.5
201_Stair_405853825_n738202185,8,1,Beach 98 St (Stair),10,/share/ju/cyclomedia/raw/queens_2025_1k/W0DIN/W0DINN4Y/faces/B.jpg,0.636,21.0,0.125,0.3125,0.5
371_Stair_408205910_n738908360,8,1,Hunts Point Av (Stair),8,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E96/W0E9684D/faces/R.jpg,0.322,55.0,0.125,0.3125,0.5
55_Stair_405774184_n739618378,8,1,Brighton Beach (Stair),11,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EES/W0EES5YY/faces/B.jpg,0.632,19.0,0.125,0.3125,0.5
95_Stair_406901596_n739230571,8,1,Gates Av (Stair),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CRD/W0CRDAQ4/faces/F.jpg,0.585,33.0,0.125,0.3125,0.5
456_Stair_407457170_n739030630,8,1,61 St-Woodside (Stair),5,/share/ju/cyclomedia/raw/queens_2025_1k/W0CKQ/W0CKQX0Q/faces/F.jpg,0.587,28.0,0.125,0.3125,0.5
275_EasementStreet_407578040_n739711410,8,1,Lexington Av/51-53 Sts (Easement - Street),14,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0E5K/W0E5KMJN/faces/R.jpg,0.402,52.0,0.125,0.3125,0.5
293_Stair_408897830_n738984320,8,1,Van Cortlandt Park-242 St (Stair),8,/share/ju/cyclomedia/raw/bronx_2025_1k/W0ENE/W0ENETII/faces/L.jpg,0.529,29.0,0.125,0.3125,0.5
297_Stair_408697076_n739149548,8,1,215 St (Stair),10,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0EHO/W0EHO979/faces/R.jpg,0.624,29.0,0.125,0.3125,0.5
4_Stair_407618934_n739256167,8,1,Broadway (Stair),5,/share/ju/cyclomedia/raw/queens_2025_1k/W0E44/W0E44QJU/faces/B.jpg,0.404,52.0,0.125,0.3125,0.5
451_Elevator_407493442_n738694143,8,1,Junction Blvd (Elevator),10,/share/ju/cyclomedia/raw/queens_2025_1k/W0COP/W0COPJUH/faces/R.jpg,0.631,27.0,0.125,0.3125,0.5
61_Stair_406362822_n739948990,8,1,50 St (Stair),5,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EFR/W0EFRJX6/faces/L.jpg,0.558,26.0,0.125,0.3125,0.5
134_Stair_406685270_n739017650,8,1,Sutter Av (Stair),13,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DBP/W0DBP0MO/faces/L.jpg,0.654,24.0,0.125,0.3125,0.5
391_Stair_408133808_n739298403,8,1,138 St-Grand Concourse (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E6E/W0E6EYIE/faces/L.jpg,0.412,51.0,0.125,0.3125,0.5
383_Stair_408582670_n739040990,8,1,183 St (Stair),8,/share/ju/cyclomedia/raw/bronx_2025_1k/W0EBJ/W0EBJWF8/faces/L.jpg,0.475,40.0,0.125,0.3125,0.5
217_Stair_408390093_n739140611,8,1,170 St (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E6G/W0E6GQY8/faces/F.jpg,0.413,51.0,0.125,0.3125,0.5
27_Elevator_406838050_n739784870,12,2,Atlantic Av-Barclays Ctr (Elevator),12,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EI5/W0EI55FH/faces/R.jpg,0.468,39.0,0.1667,0.3,0.5
216_Stair_408449405_n739108702,12,2,174-175 Sts (Stair),14,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CPP/W0CPP0L2/faces/R.jpg,0.549,29.0,0.1667,0.3,0.5
153_Elevator_408107815_n739528525,12,2,125 St (Elevator),14,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ECN/W0ECN844/faces/B.jpg,0.627,29.0,0.1667,0.3,0.5
80_Stair_407002829_n738292737,12,2,121 St (Stair),12,/share/ju/cyclomedia/raw/queens_2025_1k/W0CT8/W0CT81PU/faces/B.jpg,0.593,14.0,0.1667,0.3,0.5
364_Stair_408369540_n738466530,9,1,Zerega Av (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CPP/W0CPPI1D/faces/L.jpg,0.516,40.0,0.1111,0.2941,0.5
25_Stair_406923150_n739851720,9,1,Jay St-MetroTech (Stair),8,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DEB/W0DEBAZH/faces/R.jpg,0.614,30.0,0.1111,0.2941,0.5
206_Stair_405931188_n737757271,9,1,Beach 44 St (Stair),7,/share/ju/cyclomedia/raw/queens_2025_1k/W0EO4/W0EO4NG4/faces/F.jpg,0.641,22.0,0.1111,0.2941,0.5
371_Stair_408208190_n738904420,9,1,Hunts Point Av (Stair),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2X/W0D2XIH3/faces/F.jpg,0.408,50.0,0.1111,0.2941,0.5
381_Stair_408676060_n738974180,9,1,Kingsbridge Rd (Stair),10,/share/ju/cyclomedia/raw/bronx_2025_1k/W0END/W0ENDTKE/faces/F.jpg,0.483,33.0,0.1111,0.2941,0.5
349_Stair_406633592_n739031178,9,1,Junius St (Stair),11,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0CVU/W0CVUZPX/faces/B.jpg,0.614,19.0,0.1111,0.2941,0.5
248_Stair_406161563_n739745128,9,1,Avenue N (Stair),10,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EJU/W0EJUBBV/faces/L.jpg,0.581,29.0,0.1111,0.2941,0.5
23_Stair_407041502_n740133314,9,1,Whitehall St-South Ferry (Stair),7,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0DG8/W0DG8RZ5/faces/L.jpg,0.573,34.0,0.1111,0.2941,0.5
462_Elevator_407461455_n739454034,9,1,Court Sq-23 St (Elevator),9,/share/ju/cyclomedia/raw/queens_2025_1k/W0CDM/W0CDMY9Q/faces/R.jpg,0.44,48.0,0.1111,0.2941,0.5
251_Stair_405967010_n739734020,9,1,Avenue U (Stair),9,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EJU/W0EJUBO1/faces/L.jpg,0.484,30.0,0.1111,0.2941,0.5
207_Stair_405953655_n737681141,9,1,Beach 36 St (Stair),10,/share/ju/cyclomedia/raw/queens_2025_1k/W0DIN/W0DINPNO/faces/R.jpg,0.647,21.0,0.1111,0.2941,0.5
293_Stair_408901360_n738982570,9,1,Van Cortlandt Park-242 St (Stair),12,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2W/W0D2WP57/faces/L.jpg,0.532,38.0,0.1111,0.2941,0.5
99_Stair_407042930_n739483300,13,2,Lorimer St (Stair),12,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0D0A/W0D0AYBR/faces/L.jpg,0.579,33.0,0.1538,0.2857,0.5
512_Underpass_405559377_n741374575,13,2,Bay Terrace (Underpass),10,/share/ju/cyclomedia/raw/si_2025_1k/W0E2N/W0E2N990/faces/F.jpg,0.463,38.0,0.1538,0.2857,0.5
