presented_label,bad,good,neutral,traces
Less,289.72,350.99,719.08,2081
More,352.04,284.73,761.26,3038
MuchLess,293.89,296.18,437.4,131
MuchMore,305.08,208.47,506.78,59
NotSure,43.3,50.5,796.9,806
Same,181.74,296.09,980.92,4884
