case,question,model,sweep,state,created_at,rows,readable,wandb_id,results_path,wandb_url,notes
schools,Which looks to be the better school?,gemma-4-12b/instruct_thinking,looks_thinking_gemma12b,finished,2026-08-16T00:29:33,11000,True,canon:trace:schools:gemma-4-12b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/schools__gemma-4-12b/results.parquet,,
schools,Which looks to be the better school?,qwen3.5-9b/instruct_thinking,looks_thinking_qwen9b,finished,2026-08-16T01:58:05,11000,True,canon:trace:schools:qwen3.5-9b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/schools__qwen3.5-9b/results.parquet,,
