group,word,weight,count
schools,school,947.89305643691,770056
schools,building,477.1115533807803,490313
schools,better,452.4429249332695,299293
schools,quality,410.8194353055465,98698
schools,brick,326.156219273086,177986
schools,private,303.09725381831373,49222
schools,good,287.5232628199429,103212
schools,like,271.58331673355354,380193
schools,facility,265.4831997228615,37908
schools,windows,264.64545718456,77179
schools,visual,261.6538009527622,77982
schools,large,255.91487469685444,94821
schools,modern,245.9645842944331,94070
schools,older,239.71989595128363,76147
schools,newer,218.10819649219238,41924
schools,looks,217.9710085490028,509982
schools,institutional,199.25288908915277,24203
schools,larger,198.90859484067704,22567
schools,schools,196.92505555476436,150988
schools,high,188.9689012010847,56667
schools,exterior,184.7331785537178,21691
schools,based,173.8895588324057,39168
schools,story,168.55583882084076,23665
schools,converted,168.1944363352649,16067
schools,units,167.07516124513893,14906
schools,nicer,165.30269614091458,31630
schools,appearance,164.4836302555928,20778
schools,perceived,159.6511518226533,21575
schools,cues,156.71550896320795,19737
schools,subjective,153.28588389352134,25787
schools,visually,150.70202717024534,24975
schools,facilities,149.47442535217243,24542
schools,substantial,147.65148158420638,13455
schools,standard,144.2375485081849,78724
schools,prestigious,141.9875982182837,10910
schools,institution,137.791618420795,10903
schools,multi,133.69941974504405,17639
schools,smaller,133.2000848749881,16890
schools,campus,133.02393583485238,10118
schools,specialized,131.4519655571431,10875
schools,renovation,130.6407454116864,17088
schools,determine,129.29212026040625,12881
schools,old,128.6579740529787,28935
schools,community,127.50706107917519,16796
schools,renovated,126.71191769786691,12632
schools,academy,126.61067434432073,13867
schools,goodness,125.86659628255016,11856
schools,datasets,125.84034686275673,15214
schools,site,123.83390846863708,26367
schools,judgment,121.8123615284714,8585
schools,judge,119.74513218443447,24025
schools,use,119.33859767586222,28779
schools,bus,117.10168938466165,34195
schools,established,114.42399376397437,12419
schools,dedicated,112.79305855539744,14026
schools,construction,111.35276369958086,83864
schools,church,108.48425766593382,10978
schools,associated,108.46820307276585,8948
schools,built,108.14430122666235,8043
schools,status,107.45585268258036,6413
schools,architecture,107.36748456754039,34887
schools,nyc,104.98018961504545,60796
schools,possibly,103.43880950444124,23120
schools,prestige,102.5175729092983,6009
schools,higher,102.47809389327772,14885
schools,playground,101.4791930335969,12701
schools,types,100.18366646372176,10294
schools,funded,100.08442042085048,7855
schools,finished,97.9729541516697,13596
schools,uncertainty,95.82752726868402,18125
schools,stories,95.44848308445212,5234
schools,tasks,93.1740607498165,14566
schools,elementary,92.57938216600101,10873
schools,banner,92.26657420593993,8218
schools,true,90.94739272900118,18120
schools,size,90.75944580607052,4792
schools,tell,89.11762677785141,11581
schools,buses,86.90436276846523,4795
schools,educational,86.22612376864011,10657
schools,bigger,86.06648715630564,4130
schools,expensive,85.96820013238926,4423
schools,education,85.39564940011836,7737
schools,style,85.07964099211412,18847
schools,external,85.07659841662304,3935
schools,purely,83.58625540551117,4107
schools,utilitarian,83.2542530884066,11475
schools,wealthier,83.2457044038774,3761
schools,purpose,82.38720011583985,4009
schools,dataset,81.34514606212693,9773
schools,jewish,81.16201909744274,3784
schools,air,80.56304199073517,4768
schools,bars,80.3486068552348,4245
schools,warehouse,79.43458295129689,6448
schools,judging,79.31967545579847,3613
schools,conditioning,79.24129187222835,3364
schools,bias,78.85395019969947,3331
schools,impossible,78.47280417166334,4127
schools,wealthy,77.87028509457352,3326
schools,gym,77.6110325510941,4025
schools,banners,77.28206428806996,4028
schools,terms,76.99564456081595,23937
schools,performing,76.90698124522022,3266
schools,usually,76.77710833783956,57351
schools,traditional,76.71154208199331,13429
schools,cue,76.59647521414283,4478
schools,religious,76.4863756499871,5816
schools,positive,76.46601778638501,4853
schools,academic,76.43045017652115,6894
schools,modernity,75.5056703167148,3085
schools,nice,75.4861061405583,46365
schools,indicator,74.99194373431996,5260
schools,similar,74.73803551626376,33079
schools,charter,74.16014588274827,15915
schools,rely,72.63761498901853,2872
schools,century,72.31795910377245,4457
schools,hebrew,72.21636353856913,5217
schools,resources,72.08564027748874,9941
schools,affluent,71.40158529220635,2982
schools,difficult,70.92821561530425,2764
schools,program,70.44094275664419,3234
