case,question,model,sweep,state,created_at,rows,readable,wandb_id,results_path,wandb_url,notes
parks_plazas,Which one looks to be better maintained?,gemma-4-12b/instruct_thinking,looks_thinking_gemma12b,finished,2026-08-16T19:41:22,11000,True,canon:trace:parks_plazas:gemma-4-12b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/parks_plazas__gemma-4-12b/results.parquet,,
parks_plazas,Which one looks to be better maintained?,qwen3.5-9b/instruct_thinking,looks_thinking_qwen9b,finished,2026-08-17T02:49:22,11000,True,canon:trace:parks_plazas:qwen3.5-9b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/parks_plazas__qwen3.5-9b/results.parquet,,
