group,word,weight,count
restaurants,restaurant,644.4632925938305,573160
restaurants,place,474.1560361619773,129939
restaurants,food,406.7524391805844,97852
restaurants,sign,389.2270864300936,167558
restaurants,prefer,364.9064125428325,128641
restaurants,shop,332.52744151734515,56944
restaurants,deli,299.2943680179335,46811
restaurants,spot,297.41305853679626,47542
restaurants,cafe,290.5041066030962,52073
restaurants,awning,273.1635949852855,39322
restaurants,store,266.60346107425323,42244
restaurants,storefront,262.7469964700043,37457
restaurants,pizza,250.47467565005127,42422
restaurants,bar,223.43396948785133,31258
restaurants,inviting,206.01156002427234,21911
restaurants,local,204.66609539351424,22264
restaurants,vibe,195.29235192162534,30410
restaurants,decide,194.47009872266207,19526
restaurants,bakery,180.36709631088578,19977
restaurants,says,177.02062379940736,86402
restaurants,preference,176.51343334529003,34487
restaurants,chain,175.56378761398122,21439
restaurants,restaurants,174.85124249064626,114026
restaurants,outdoor,173.71624995108226,16286
restaurants,upscale,169.1881360008984,15312
restaurants,grocery,165.76754009904553,14189
restaurants,coffee,165.6987212785105,17377
restaurants,closed,161.5920373681441,15679
restaurants,seating,159.5339127080382,13383
restaurants,market,155.49484779718603,13702
restaurants,famous,155.23067839683335,12460
restaurants,chinese,154.52478537354494,20261
restaurants,generic,150.95655910198005,25033
restaurants,storefronts,149.71648359234194,16264
restaurants,grill,146.9763069543201,11247
restaurants,window,145.19150150397002,16430
restaurants,fast,142.61140575610216,13776
restaurants,casual,140.3075978995001,17379
restaurants,dining,139.47813217806984,42895
restaurants,known,137.30838598947423,11084
restaurants,clearly,136.78957577399962,59276
restaurants,sounds,136.55716345845465,10199
restaurants,called,136.29350930811356,9689
restaurants,maybe,135.69144758430488,153098
restaurants,experience,135.32467324586025,18265
restaurants,diner,134.60809950897973,9421
restaurants,nicer,134.11090108848097,27186
restaurants,dunkin,132.3301846360777,9234
restaurants,quick,131.53036790271008,9031
restaurants,bodega,126.8762350231816,9408
restaurants,hotel,126.51901510900585,9577
restaurants,pharmacy,124.4086490562554,9088
restaurants,strip,120.28021408991346,12164
restaurants,chicken,119.989811789794,9040
restaurants,convenience,118.78520729941869,7391
restaurants,mcdonald,117.7259554547447,7177
restaurants,salon,117.62183138534655,8877
restaurants,like,117.3237472304809,299238
restaurants,know,117.07980395107235,10735
restaurants,places,115.74658032234484,8829
restaurants,door,114.70404402652984,16810
restaurants,preferred,114.38523417673798,7046
restaurants,popular,114.21198233866988,6939
restaurants,destination,114.19906212317981,7088
restaurants,specific,113.62951857943398,41765
restaurants,atmosphere,112.85952948227272,12437
restaurants,authentic,112.74073443557103,6949
restaurants,assume,111.02140583640573,47733
restaurants,laundromat,111.00493022779615,6532
restaurants,establishment,110.94476924913806,16733
restaurants,mall,110.45486741203345,6706
restaurants,burger,108.94286651233979,7492
restaurants,kitchen,108.17310764172497,6995
restaurants,floor,107.56799934062954,11799
restaurants,outside,107.39834194526435,8523
restaurants,tables,106.58342298397335,5899
restaurants,service,106.20754572517725,9655
restaurants,businesses,105.89796337158944,7418
restaurants,end,105.55117691709036,15891
restaurants,cozy,104.62860642820459,5952
restaurants,pizzeria,103.29061892074063,8708
restaurants,desirable,102.67826542484924,5549
restaurants,option,102.59174042890801,18896
restaurants,inside,101.24372645518423,12029
restaurants,truck,100.71380390581334,30601
restaurants,neighborhood,100.13605328010655,29138
restaurants,taco,100.00943046528712,6618
restaurants,trendy,99.67220088255219,8582
restaurants,delivery,98.73331921328985,5643
restaurants,bagel,98.15442838051352,5317
restaurants,real,97.79206163213182,7594
restaurants,means,97.23425308369767,17223
restaurants,patio,97.02856446332622,4989
restaurants,hot,95.18531637732735,4745
restaurants,king,94.87548786336981,4652
restaurants,business,94.26598163655241,7269
restaurants,shutter,93.95493132984522,4562
restaurants,liquor,93.1008175104954,4508
restaurants,wine,92.75342044957628,5201
restaurants,spa,92.41542036630429,4653
restaurants,nice,91.73284934504274,47650
restaurants,shops,91.13689278431822,11910
restaurants,sandwich,90.60385752194567,4270
restaurants,interior,89.48316137186303,5020
restaurants,retail,87.34725705985323,6378
restaurants,identifiable,87.0549745762673,4097
restaurants,juice,86.05141532793196,4086
restaurants,awnings,85.84514811672275,4603
restaurants,established,85.81435855853863,10056
restaurants,signage,85.76521110379097,11643
restaurants,joint,85.74005275085689,5209
restaurants,logo,85.3215315545988,5890
restaurants,donuts,85.07354264447343,3759
restaurants,possible,84.65492276293142,32211
restaurants,meaning,84.49798933274539,4066
restaurants,club,83.96293023109735,3699
restaurants,gourmet,83.95044217311828,3659
restaurants,pub,83.00005367164546,5135
restaurants,shutters,82.32267385122098,3981
restaurants,eat,82.23800171469064,197548
