block,spans,words,distinct
Subway safety,212081,832474,6505
Street photography,177669,692499,5783
Libraries,168710,689268,4667
Parks and plazas,156724,641056,4440
Road quality,153236,746264,2688
Restaurants,151918,655144,12654
Schools,143604,598662,6205
