block,spans,words,distinct
dimension,1163942,4855367,20407
hedge,399833,1613656,9858
reconsideration,256527,599851,4842
perspective,164357,1050332,7267
verdict,162770,395563,3974
dismissal,115910,556588,6004
weighing,26286,171551,4207
