block,word,weight,count,rank,also_in
perspective,schools,48.59954,3918,42,dismissal;hedge;reconsideration;verdict
perspective,streets,48.5214,2110,43,dismissal;verdict;weighing
perspective,smoother,48.51161,2440,44,
perspective,finished,48.45125,1827,45,weighing
perspective,dining,48.38642,2398,46,verdict
perspective,meal,46.88283,1335,47,weighing
perspective,interaction,46.48953,869,48,
perspective,preferred,46.33262,1201,49,verdict;weighing
perspective,worse,45.02574,1734,50,verdict;weighing
perspective,definitely,44.81852,2479,51,verdict;weighing
perspective,appeal,44.47326,1249,52,weighing
perspective,contexts,43.57518,929,53,
perspective,context,43.55903,1346,54,
perspective,aesthetic,42.67998,2215,55,weighing
perspective,benefits,42.3858,863,56,
perspective,refer,42.15105,827,57,
perspective,place,41.863,3185,58,
perspective,nicer,41.84266,1957,59,verdict;weighing
perspective,highly,41.4187,1009,60,
perspective,offers,41.41106,1323,61,weighing
perspective,life,41.08192,1727,62,
perspective,state,41.05093,1591,63,
perspective,upkeep,40.6084,858,64,
perspective,dedicated,39.7284,1548,65,
perspective,resources,39.4257,792,66,weighing
perspective,aesthetics,39.08923,898,67,weighing
perspective,people,38.90997,7193,68,weighing
perspective,correlates,38.16549,620,69,weighing
perspective,grander,36.6495,910,70,
perspective,preference,36.20358,1288,71,dismissal;hedge
perspective,unique,35.7672,1071,72,
perspective,relates,35.71764,511,73,
perspective,personally,35.61235,598,74,
perspective,evaluations,35.58745,522,75,
perspective,activity,35.42651,2008,76,
perspective,high,35.06535,4994,77,weighing
perspective,lit,34.73842,3077,78,weighing
perspective,spaces,34.42344,1196,79,verdict
perspective,favors,34.38511,476,80,weighing
perspective,prompts,34.22549,1001,81,hedge;reconsideration
perspective,assessments,32.74049,433,82,weighing
perspective,solely,32.3956,560,83,
perspective,site,32.24766,2598,84,weighing
perspective,difficult,31.67701,740,85,hedge
perspective,infrastructure,31.57484,1519,86,
perspective,favor,31.4858,477,87,weighing
perspective,purely,31.3636,626,88,
perspective,space,31.16612,4200,89,
perspective,tests,31.15237,509,90,weighing
perspective,presence,30.8903,945,91,
perspective,eating,30.35563,505,92,verdict;weighing
perspective,character,29.79494,1142,93,weighing
perspective,prestigious,29.02288,943,94,
perspective,elements,28.84234,1829,95,weighing
perspective,visually,28.75537,1331,96,weighing
perspective,rated,28.66795,379,97,weighing
perspective,external,28.62054,557,98,verdict
perspective,inviting,28.59303,1079,99,
perspective,implies,28.58316,1118,100,weighing
perspective,movement,28.34726,611,101,
perspective,variety,28.2603,1552,102,weighing
perspective,subjects,28.01295,710,103,
perspective,highways,27.81841,352,104,weighing
perspective,zones,27.77756,407,105,
perspective,involves,27.72665,305,106,
perspective,cues,27.57238,627,107,reconsideration
perspective,lighting,27.27778,2195,108,
perspective,sit,27.26909,751,109,
perspective,roads,26.7582,656,110,verdict;weighing
perspective,physical,26.54701,530,111,
perspective,aesthetically,26.52,824,112,
perspective,funded,26.41683,744,113,
perspective,facility,26.2325,1739,114,verdict
perspective,environment,26.09306,2241,115,
perspective,funding,25.91085,317,116,
perspective,determine,25.85457,532,117,
perspective,prestige,25.82779,443,118,
perspective,sites,25.69562,429,119,
perspective,ones,25.64578,615,120,
weighing,difference,76.77769,1340,1,hedge;verdict
weighing,wins,41.93066,235,2,
weighing,means,40.11245,414,3,perspective;verdict
weighing,hand,33.00086,153,4,
weighing,stark,31.84763,198,5,
weighing,contrast,31.10985,296,6,
weighing,photographers,30.21586,322,7,dismissal
weighing,want,29.0164,244,8,hedge
weighing,leans,28.56175,134,9,
weighing,highway,24.40915,489,10,
weighing,photographer,22.84,158,11,reconsideration
weighing,win,21.83688,66,12,
weighing,openness,21.49006,108,13,verdict
weighing,extreme,21.27302,161,14,verdict
weighing,huge,21.15749,219,15,
weighing,significant,19.96608,468,16,
weighing,shoot,19.02793,118,17,
weighing,apples,18.86943,52,18,
weighing,oranges,18.01464,48,19,
weighing,scale,17.47556,243,20,
weighing,factor,16.87883,90,21,
weighing,prettier,15.83384,68,22,
weighing,equates,15.77395,52,23,
weighing,big,15.60834,239,24,
weighing,genre,15.39694,45,25,
weighing,bigger,14.87984,100,26,
weighing,key,14.80096,67,27,
weighing,normally,14.71544,41,28,
weighing,police,14.49368,136,29,
weighing,goal,14.02305,55,30,
weighing,grit,13.93934,113,31,
weighing,potential,13.61318,163,32,
weighing,massive,13.31729,131,33,
weighing,block,13.0884,231,34,
weighing,action,13.02675,72,35,
weighing,richer,13.01887,42,36,
weighing,zone,12.99081,214,37,
weighing,capture,12.7687,54,38,
weighing,backdrop,12.47182,62,39,
weighing,risk,12.1602,65,40,
weighing,accidents,11.90314,43,41,
weighing,planned,11.87164,52,42,
weighing,crowds,11.62088,68,43,
weighing,drastic,11.60207,22,44,
weighing,plus,11.48826,37,45,
weighing,scenic,11.20808,159,46,
weighing,destroyed,11.19699,24,47,
weighing,photogenic,11.14646,85,48,
weighing,composition,11.03854,147,49,
weighing,great,10.6091,93,50,
weighing,favored,10.46351,20,51,
weighing,volume,10.45849,49,52,
weighing,urbanity,10.41395,26,53,
weighing,hungry,10.40016,16,54,
weighing,despite,10.31409,63,55,
weighing,equated,10.27636,20,56,
weighing,stronger,10.15566,30,57,
weighing,mess,10.12975,85,58,
weighing,brightness,10.10531,18,59,
weighing,striking,10.09847,60,60,
