case,traces,ingredients,per_trace,quote_found,sub_quotes_found,answers_cut
Libraries,11000,391922,35.6,0.895,0.8695,0.025
Parks and plazas,11000,379033,34.5,0.9068,0.872,0.023
Restaurants,11000,330721,30.1,0.9217,0.9071,0.0175
Road quality,11000,284669,25.9,0.9661,0.9114,0.0074
Schools,11000,337059,30.6,0.9223,0.8935,0.0116
Street photography,11000,305181,27.7,0.9447,0.9075,0.0106
Subway safety,11000,458238,41.7,0.9082,0.9088,0.0484
