case,traces,dropped_truncated,mean_code,median_code,code_1,code_2,code_3,code_4,code_5,code_6,differentiated,pseudo_differentiation,integrated,context_sensitive,verdict_revised,dimensions_per_trace,unlocated_per_trace,case_label
subway_safety,10468,532,4.116,4.0,0.0005,0.0012,0.0638,0.7661,0.1528,0.0156,0.9983,0.0,0.1683,0.0712,0.1819,6.51,2.18,Subway safety
libraries,10725,275,3.976,4.0,0.0011,0.0062,0.0676,0.8735,0.0439,0.0076,0.9926,0.0002,0.0516,0.0548,0.1693,3.95,2.42,Libraries
schools,10872,128,4.012,4.0,0.0005,0.0046,0.0984,0.794,0.0843,0.0183,0.9949,0.0004,0.1026,0.0935,0.2288,5.14,1.9,Schools
road_quality,10919,81,3.543,4.0,0.0486,0.1495,0.0767,0.6658,0.0539,0.0054,0.8019,0.0,0.0593,0.0675,0.1436,2.94,0.69,Road quality
parks_plazas,10747,253,3.934,4.0,0.0077,0.0222,0.0652,0.8471,0.0489,0.0087,0.97,0.0002,0.0577,0.049,0.1839,3.91,2.41,Parks and plazas
restaurants,10808,192,3.954,4.0,0.0014,0.0126,0.1293,0.756,0.0892,0.0116,0.986,0.0007,0.1008,0.0616,0.1969,5.09,1.91,Restaurants
street_photography,10883,117,4.067,4.0,0.0002,0.0003,0.2799,0.4042,0.2827,0.0327,0.9995,0.0004,0.3154,0.0781,0.1098,8.58,1.25,Street photography
