presented_label,bad,good,neutral,traces
Less,87.21,330.18,634.95,2392
More,121.42,265.83,695.8,3670
MuchLess,127.15,273.35,464.74,987
MuchMore,184.89,206.57,506.24,609
NotSure,45.53,86.51,728.72,571
Same,60.38,293.72,840.89,2771
