,libraries,road_quality,schools,subway_safety
inference: wealth,4.54,0.35,19.05,1.9
inference: class,19.28,1.22,29.82,1.36
inference: demographic,0.37,0.7,8.38,2.41
inference: crime,0.01,0.0,0.25,6.64
person_reference: any,8.8,1.29,11.16,112.58
person_reference: used in judgment,0.04,0.0,0.21,7.8
image_artifact: any,13.48,20.99,14.42,24.28
