presented_label,bad,good,neutral,traces
Less,297.05,604.24,528.76,2100
More,331.96,555.25,543.03,3207
MuchLess,288.27,427.16,334.57,162
MuchMore,307.5,361.25,373.75,80
NotSure,51.3,145.96,634.41,805
Same,129.01,931.33,593.07,4644
