group,word,weight,count
libraries,building,859.4490813964055,675688
libraries,maintained,560.8825181816028,287354
libraries,library,499.03986628722095,589642
libraries,public,386.014257497376,176120
libraries,brick,375.9271498135191,189534
libraries,buildings,331.7844300605239,115845
libraries,clean,316.1443845032943,148636
libraries,looks,313.4946406031283,551395
libraries,modern,276.0915622775968,98891
libraries,facade,274.0146697856854,57314
libraries,stone,270.07813996575726,44222
libraries,windows,255.8385003971441,74264
libraries,branch,242.26930470486136,138416
libraries,new,242.23779000941224,126643
libraries,york,239.84619710226895,104832
libraries,grand,232.08849233522537,32019
libraries,historic,206.74755654855664,24151
libraries,glass,203.59045860196414,42881
libraries,queens,186.8644771707081,23154
libraries,impressive,185.23606186765812,18963
libraries,plain,169.70645902701605,22279
libraries,maintenance,160.54772809388527,59937
libraries,brooklyn,160.39903816549463,29179
libraries,kept,156.96361308709672,24278
libraries,pristine,156.01018502533591,22267
libraries,main,154.83783960077605,29759
libraries,older,146.13873832841003,57847
libraries,red,134.76771055264908,47040
libraries,brickwork,131.99235365673712,10566
libraries,better,128.30112547647445,179877
libraries,arched,127.51526277520887,11374
libraries,landmark,118.54867250052823,7455
libraries,avenue,114.60735205825254,14885
libraries,beige,114.27411212050242,11342
libraries,style,113.08145922685878,21319
libraries,flag,109.25569589655396,8556
libraries,heights,105.50260165362212,7398
libraries,weathered,105.1219690085567,11471
libraries,classical,104.54516557274599,5824
libraries,grander,104.07926337964959,6188
libraries,ornate,102.60429603733998,6878
libraries,different,102.26509881657626,26069
libraries,utilitarian,101.62818780673688,12674
libraries,central,99.54373933421424,9523
libraries,grandeur,99.17242047423784,5162
libraries,architecturally,98.4612123608436,5615
libraries,branches,98.32762978132318,5799
libraries,center,97.45267705212443,21383
libraries,smaller,96.81228988591589,13543
libraries,beautiful,95.9244906860971,6864
libraries,renovation,94.2262890936669,13708
libraries,cared,93.23072712561662,6882
libraries,functional,93.14309933546146,18637
libraries,preserved,92.9411006835018,4862
libraries,shiny,92.49690932353654,5176
libraries,annex,92.0983178801868,4466
libraries,aesthetic,91.02297302484543,12510
libraries,story,90.0852150718741,15734
libraries,architectural,87.54238085926622,14060
libraries,nypl,87.38362144780514,17053
libraries,scaffolding,86.79877959338309,35254
libraries,stephen,86.47940614848089,6010
libraries,terms,85.94638949174995,24501
libraries,east,84.98219331318157,8678
libraries,state,83.41294112149474,9729
libraries,hill,81.85799309671242,4961
libraries,appearance,81.21741190862028,13030
libraries,actually,81.2085304435767,96562
libraries,renovated,80.78265869574132,9154
libraries,prompt,80.47393148705996,138367
libraries,polished,79.92895382703796,6115
libraries,astoria,79.31245453927775,3468
libraries,roof,77.82721217258893,11181
libraries,dated,77.44703033434861,4778
libraries,municipal,77.41359553420506,3391
libraries,modest,77.17253573500703,4534
libraries,community,77.0948625144722,12315
libraries,wall,76.94461373201972,28212
libraries,aesthetically,76.85781099225201,5235
libraries,columns,76.80248019169628,4769
libraries,sleek,76.48134156694726,4847
libraries,addition,75.99020182237265,3518
libraries,single,75.69555749725124,7254
libraries,libraries,74.6846030066665,31431
libraries,solid,74.11080971586209,8198
libraries,washington,73.31133241971419,4028
libraries,bit,72.90207765776074,81909
libraries,tan,72.5773118116987,5089
libraries,simple,72.53562278123002,4734
libraries,ave,72.06744925786155,14183
libraries,harlem,71.91065925792091,4308
libraries,repair,71.74144488267953,6054
libraries,intact,71.50330951887646,8378
libraries,civic,71.05672845709346,2938
libraries,century,70.87673744057231,4322
libraries,institutional,70.29136052468934,11861
libraries,old,70.07237659413212,21673
libraries,reddish,69.9647469439592,3376
libraries,decay,69.07617677155716,4122
libraries,neglect,69.06811089009628,6548
libraries,clinton,68.47815988461053,2489
libraries,says,67.98735245680389,64225
libraries,interprets,67.24779626156894,2388
libraries,colored,67.188313701709,3416
libraries,astor,67.13160982033166,2839
libraries,mid,66.79084741757879,4384
libraries,arts,66.68327888668803,4211
libraries,stonework,66.42800648280495,2318
libraries,large,65.82868002344502,55234
libraries,look,65.39484983648508,218311
libraries,george,64.44100455955927,2623
libraries,beaux,63.98351787960193,2226
libraries,paris,63.537164196047975,2113
libraries,historical,62.81459463326103,2130
libraries,baguette,61.32829344775048,1979
libraries,peeling,60.792523401201684,4084
libraries,bronx,60.7581288591278,8021
libraries,shown,60.524270212031105,10995
libraries,excellent,60.422472930167245,2856
libraries,west,60.09489484315977,7241
