case,question,model,sweep,state,created_at,rows,readable,wandb_id,results_path,wandb_url,notes
libraries,Which library building looks better?,gemma-4-12b/instruct_thinking,looks_thinking_gemma12b,finished,2026-08-16T04:04:11,11000,True,canon:trace:libraries:gemma-4-12b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/libraries__gemma-4-12b/results.parquet,,
libraries,Which library building looks better?,qwen3.5-9b/instruct_thinking,looks_thinking_qwen9b,finished,2026-08-16T08:05:56,11000,True,canon:trace:libraries:qwen3.5-9b,/share/pierson/matt/mllmsci/notebooks/cvpr/canonical_data/trace/libraries__qwen3.5-9b/results.parquet,,
