group,word,weight,count
subway_safety,entrance,958.5950143115092,586748
subway_safety,safe,538.3448747986773,207998
subway_safety,station,536.3553988188745,327690
subway_safety,subway,531.3585519641834,323412
subway_safety,safer,522.5367799860493,201674
subway_safety,busy,386.4468177914713,96796
subway_safety,people,376.9593863297757,102985
subway_safety,traffic,364.5901995123525,79869
subway_safety,open,361.0118319847241,79524
subway_safety,safety,339.6784065366276,161561
subway_safety,structure,317.6130535946262,76496
subway_safety,elevated,299.80746735810885,52523
subway_safety,stairs,287.69497220666244,56941
subway_safety,tracks,274.46970242577316,46489
subway_safety,corner,264.2730649832573,62016
subway_safety,area,262.9378922438288,169441
subway_safety,near,261.2338940867304,73060
subway_safety,pedestrians,247.35915025334123,35869
subway_safety,walking,235.32511484872552,35914
subway_safety,pedestrian,233.7693721154498,31753
subway_safety,lit,221.59870027994413,35654
subway_safety,entrances,217.625167850418,105983
subway_safety,train,214.18703824793923,27230
subway_safety,nearby,196.90674277816643,28128
subway_safety,visibility,193.18597612344888,36892
subway_safety,barriers,190.19042511773,32323
subway_safety,enclosed,188.44056309185385,21150
subway_safety,environment,182.13101154762657,39140
subway_safety,active,178.16976270210674,28691
subway_safety,activity,176.70125059719612,23048
subway_safety,areas,172.95142660017586,22420
subway_safety,bus,165.78046182075533,43569
subway_safety,level,165.077450688931,32815
subway_safety,ave,159.30556312041884,24098
subway_safety,track,156.029378826286,14396
subway_safety,police,155.80064903307144,14157
subway_safety,security,150.99786778924127,13960
subway_safety,construction,148.40742694687864,99340
subway_safety,zone,144.7540932087926,22796
subway_safety,crosswalk,142.40987423473243,26190
subway_safety,close,140.0285536004639,13231
subway_safety,railing,139.82147694676345,11716
subway_safety,secure,139.56726175726985,13935
subway_safety,dark,139.2786353952562,40072
subway_safety,kiosk,137.04580913652705,11587
subway_safety,bollards,136.64410231242928,10857
subway_safety,intersection,136.25055388128357,20965
subway_safety,transit,135.53974837249882,11361
subway_safety,immediate,134.87377531016057,16302
subway_safety,crossing,134.33377499640775,10506
subway_safety,presence,133.7350432102054,13064
subway_safety,standing,132.5169875629007,12229
subway_safety,person,130.77222101742532,15545
subway_safety,chaotic,130.5224133925163,10909
subway_safety,far,130.15812991034068,18492
subway_safety,perceived,130.03144871705578,19838
subway_safety,normal,129.44209717976773,12770
subway_safety,shelter,128.61738236970044,9622
subway_safety,eyes,127.25862246120717,13797
subway_safety,crowded,127.0124278605281,9435
subway_safety,hazard,126.86452043077443,18644
subway_safety,access,126.36914290961532,9557
subway_safety,clear,126.333410692418,66665
subway_safety,stop,125.32645842860161,16579
subway_safety,heavy,124.01850824397664,15497
subway_safety,daytime,123.97265130363795,10992
subway_safety,booth,122.97591259007253,10024
subway_safety,lighting,122.32952802531256,32075
subway_safety,perception,121.64243128554351,8843
subway_safety,isolated,120.22627790866218,11024
subway_safety,wide,119.17790320481357,24203
subway_safety,away,118.86267630068834,10032
subway_safety,daylight,118.15082821454033,8339
subway_safety,hub,117.24536310769147,8012
subway_safety,unsafe,115.43072054110786,18627
subway_safety,exposed,115.11582419320743,7777
subway_safety,shops,113.69239138573022,14872
subway_safety,physical,113.05929936649841,8645
subway_safety,feel,112.51554814105063,22669
subway_safety,platform,112.18849747823475,9469
subway_safety,potentially,111.73776089519394,11448
subway_safety,fenced,111.25376692401294,15764
subway_safety,going,111.12199743174652,8040
subway_safety,generally,110.3050658083989,25843
subway_safety,bright,110.1104336339335,26312
subway_safety,crime,109.34555305339944,18871
subway_safety,crowd,108.82872735748069,8913
subway_safety,secluded,107.6217955342069,7861
subway_safety,moving,106.59161896517314,9860
subway_safety,line,106.14878448096118,15342
subway_safety,dangerous,106.08359301071268,16759
subway_safety,controlled,105.32398660310979,8167
subway_safety,staircase,101.8693921318117,10529
subway_safety,blocking,101.50367030872259,7441
subway_safety,square,101.0839167165112,8301
subway_safety,foot,101.04167521758384,8106
subway_safety,quieter,100.63916074397687,7828
subway_safety,past,99.9615263121587,6146
subway_safety,stations,99.90603108549833,13153
subway_safety,lots,99.68210376094221,12104
subway_safety,overhead,98.9587867069949,9255
subway_safety,underground,97.34468805772856,5856
subway_safety,separated,97.15383146895499,6715
subway_safety,broadway,95.90741671221508,7553
subway_safety,bank,94.98839053907069,9549
subway_safety,accessible,94.31334692578335,6379
subway_safety,don,93.90929493916744,29592
subway_safety,driving,93.51328696590299,13622
subway_safety,integrated,93.50643855075735,5310
subway_safety,feels,93.01012049206385,49878
subway_safety,fewer,93.00420589007436,5722
subway_safety,lights,92.7749832309975,7740
subway_safety,street,92.24520780254893,286642
subway_safety,stopped,91.81729748026044,4924
subway_safety,underpass,90.6158231856024,6193
subway_safety,recessed,90.53485965967715,5825
subway_safety,environments,89.61771315842418,6847
subway_safety,protected,89.32377271771932,5805
subway_safety,zones,89.17872806726086,4676
subway_safety,leading,89.13897013752576,9395
