layer,model,boroct2020,n_images,mean_score,comparisons,median_income
census_tract,gemma-4-12b,4005200,25,0.2267,39,76300.0
census_tract,gemma-4-12b,4005300,23,-0.0145,35,113816.0
census_tract,gemma-4-12b,4005400,77,0.2857,106,78633.0
census_tract,gemma-4-12b,4005500,22,0.1591,32,81310.0
census_tract,gemma-4-12b,4005700,18,0.3519,24,94142.0
census_tract,gemma-4-12b,4005800,93,0.1344,126,91875.0
census_tract,gemma-4-12b,4005900,22,0.3182,25,76813.0
census_tract,gemma-4-12b,4006100,22,0.5,26,106413.0
census_tract,gemma-4-12b,4006201,62,-0.1909,83,61954.0
census_tract,gemma-4-12b,4006202,232,-0.3121,309,91902.0
census_tract,gemma-4-12b,4006300,22,0.5455,29,137746.0
census_tract,gemma-4-12b,4006501,18,0.713,25,94628.0
census_tract,gemma-4-12b,4006502,13,0.9615,20,80539.0
census_tract,gemma-4-12b,4006900,25,0.3067,36,121526.0
census_tract,gemma-4-12b,4007100,19,0.2368,22,89562.0
census_tract,gemma-4-12b,4007300,13,0.1795,17,101691.0
census_tract,gemma-4-12b,4007500,9,0.5556,11,79634.0
census_tract,gemma-4-12b,4007700,17,0.5,25,139267.0
census_tract,gemma-4-12b,4007900,32,0.1979,46,111875.0
census_tract,gemma-4-12b,4008100,13,-0.2436,20,122798.0
census_tract,gemma-4-12b,4008300,20,-0.1333,26,94803.0
census_tract,gemma-4-12b,4008500,24,-0.2708,30,82708.0
census_tract,gemma-4-12b,4008600,51,0.1209,70,89667.0
census_tract,gemma-4-12b,4008700,12,0.25,20,
census_tract,gemma-4-12b,4008800,60,-0.1361,78,127313.0
census_tract,gemma-4-12b,4009100,17,0.1765,19,99070.0
census_tract,gemma-4-12b,4009400,33,-0.0081,46,73636.0
census_tract,gemma-4-12b,4009500,42,0.1786,62,127946.0
census_tract,gemma-4-12b,4009600,32,0.3125,40,124423.0
census_tract,gemma-4-12b,4009700,23,0.0652,29,121088.0
census_tract,gemma-4-12b,4009800,9,0.0,14,84458.0
census_tract,gemma-4-12b,4009900,14,-0.5,16,
census_tract,gemma-4-12b,4010000,37,0.2973,47,114327.0
census_tract,gemma-4-12b,4010100,25,0.52,36,147308.0
census_tract,gemma-4-12b,4010200,32,0.1302,49,107270.0
census_tract,gemma-4-12b,4010300,22,0.1212,31,84821.0
census_tract,gemma-4-12b,4010400,24,0.5,29,95781.0
census_tract,gemma-4-12b,4010500,39,-0.0855,51,65233.0
census_tract,gemma-4-12b,4010600,26,0.1667,38,121250.0
census_tract,gemma-4-12b,4010800,23,0.3913,33,108299.0
census_tract,gemma-4-12b,4011000,23,0.5362,29,77031.0
census_tract,gemma-4-12b,4011100,29,0.5172,32,111125.0
census_tract,gemma-4-12b,4011200,31,-0.271,42,69030.0
census_tract,gemma-4-12b,4011300,16,0.3125,20,87393.0
census_tract,gemma-4-12b,4011400,15,0.1333,20,121442.0
census_tract,gemma-4-12b,4011500,25,0.26,32,113370.0
census_tract,gemma-4-12b,4011600,14,-0.119,19,71576.0
census_tract,gemma-4-12b,4011700,26,0.3846,33,125550.0
census_tract,gemma-4-12b,4011800,22,0.3636,29,86754.0
census_tract,gemma-4-12b,4011900,15,0.4111,23,84886.0
census_tract,gemma-4-12b,4012000,14,0.1786,22,82500.0
census_tract,gemma-4-12b,4012100,10,0.3,12,108125.0
census_tract,gemma-4-12b,4012200,28,0.2381,38,118015.0
census_tract,gemma-4-12b,4012301,69,-0.1087,98,106328.0
census_tract,gemma-4-12b,4012400,21,0.5556,26,71435.0
census_tract,gemma-4-12b,4012500,64,-0.263,80,93309.0
census_tract,gemma-4-12b,4012601,27,0.1975,34,82450.0
census_tract,gemma-4-12b,4012602,11,0.053,20,79531.0
census_tract,gemma-4-12b,4012800,13,0.2333,21,103750.0
census_tract,gemma-4-12b,4013000,26,0.391,38,82708.0
census_tract,gemma-4-12b,4013200,32,0.0521,44,84452.0
census_tract,gemma-4-12b,4013400,16,-0.0208,22,77073.0
census_tract,gemma-4-12b,4013500,13,0.1538,16,103250.0
census_tract,gemma-4-12b,4013600,23,0.2029,33,86601.0
census_tract,gemma-4-12b,4013700,73,-0.2352,89,108056.0
census_tract,gemma-4-12b,4013800,17,0.5882,22,76938.0
census_tract,gemma-4-12b,4014000,32,0.276,42,117631.0
census_tract,gemma-4-12b,4014100,27,-0.642,42,100568.0
census_tract,gemma-4-12b,4014201,27,0.2593,36,70813.0
census_tract,gemma-4-12b,4014202,54,-0.4506,69,88750.0
census_tract,gemma-4-12b,4014300,16,0.1875,22,95446.0
census_tract,gemma-4-12b,4014400,23,0.2319,33,80101.0
census_tract,gemma-4-12b,4014500,14,0.2143,16,88462.0
census_tract,gemma-4-12b,4014700,10,0.3333,12,94180.0
census_tract,gemma-4-12b,4014800,21,0.3333,24,
census_tract,gemma-4-12b,4014900,22,0.4394,27,66000.0
census_tract,gemma-4-12b,4015000,16,0.3125,22,91116.0
census_tract,gemma-4-12b,4015100,14,0.1429,15,68932.0
census_tract,gemma-4-12b,4015200,37,0.0135,55,82093.0
census_tract,gemma-4-12b,4015300,19,0.3421,23,88636.0
census_tract,gemma-4-12b,4015400,18,-0.1111,22,69414.0
census_tract,gemma-4-12b,4015500,11,0.6818,17,94375.0
census_tract,gemma-4-12b,4015600,24,0.0833,26,79063.0
census_tract,gemma-4-12b,4015700,17,0.1373,25,75982.0
